run_id,config_name,final_fid,final_kid,final_precision,final_recall,final_lpips,final_rpse,final_wbed,best_wbed,best_wbed_step,best_rpse,best_rpse_step,fid_auc_vs_kimg,avg_sec_per_iter,avg_vram_peak_mb,delta_fid_vs_r0
r0,phase_b_r0_baseline_32,21.3355,0.015421,0.639,0.4492,0.2183,0.00019,0.023329,0.016798,20000,0.000151,27500,40.9053409090909,1.029166,4769.4833333333345,0.0
r1,phase_b_r1_matched_capacity_32,22.9752,0.017071,0.6252,0.4568,0.2148,0.000198,0.014362,0.0127,22500,0.000198,30000,42.03639545454546,1.0517456666666667,4844.631666666667,1.6397000000000013
r2,phase_b_r2_waved_32,22.9342,0.016035,0.6222,0.4575,0.2165,0.000162,0.017102,0.011573,20000,0.000162,30000,41.805963636363636,1.0521503333333333,4854.173333333333,1.598700000000001
r3,phase_c_r3_waved_wavereg_32,24.8504,0.018518,0.6198,0.4494,0.2179,0.000699,0.042055,0.010593,22500,0.000215,12500,45.38349090909091,1.0635556666666666,4854.173333333333,3.514900000000001
r4,phase_c_r4_waved_fftreg_32,23.1217,0.016742,0.6374,0.4415,0.2157,0.000183,0.008025,0.008025,30000,0.000183,30000,41.8232,1.0545433333333334,4853.725,1.786200000000001
r5,phase_c_r5_wavereg_32,24.7034,0.019164,0.6336,0.4626,0.2177,0.000426,0.004612,0.004612,30000,0.000258,20000,45.65826818181818,1.0123493333333335,4769.050000000002,3.367899999999999
r6,phase_c_r6_fftreg_32,22.4578,0.016654,0.6381,0.4655,0.2183,0.000627,0.018143,0.005246,17500,0.00021,22500,43.70343181818181,1.0136596666666666,4768.700000000001,1.1222999999999992
r7,phase_e_r7_wavereg_sched_32,23.1124,0.016888,0.6424,0.4578,0.2177,0.000376,0.021406,0.006407,20000,0.000201,27500,42.60003181818182,1.0184203333333335,4769.050000000002,1.7769000000000013
r8,phase_e_r8_waved_wavereg_sched_32,21.9593,0.015282,0.641,0.4542,0.2197,0.000565,0.017518,0.014217,10000,0.000201,22500,42.96976818181818,1.0492776666666668,4854.173333333333,0.6237999999999992
r9,phase_e_r9_waved_gatewarm_32,22.3503,0.016375,0.6451,0.4543,0.2162,0.00018,0.050744,0.00484,17500,0.000179,25000,42.16067272727273,1.0541696666666667,4854.173333333333,1.014800000000001
r10,phase_e_r10_waved_wavereg_combo_32,23.5177,0.016746,0.6443,0.4314,0.2199,0.000266,0.02322,0.010198,20000,0.000266,30000,43.6544590909091,1.034514,4854.173333333333,2.1822000000000017
r11,phase_e_r11_wavereg_fidgate_32,24.4362,0.017643,0.6382,0.4439,0.2194,0.000332,0.026008,0.014025,12500,0.000175,22500,44.54356818181818,1.0229153333333334,4762.416666666667,3.1007
